CustomerID,TotalTransactions,TotalQuantity,TotalSpent,LastPurchaseDate,Recency,Frequency,Monetary,Cluster,Persona,DBSCAN_Cluster,Hierarchical_Cluster,CustomerScore,Tier,Anomaly,ChurnScore,Churn,ChurnRisk,ChurnStatus
12346.0,0.0277078085642317,0.2023028824157389,0.1334864608770956,2011-01-18 10:01:00,0.4403794037940379,0.0277078085642317,0.1334864608770956,1,Churn Risk Customers,-1,1,0.1611068618722543,Platinum,Anomaly,0.6389556835732395,1,1,High Risk
12347.0,0.017632241813602,0.0080775180287152,0.0084659461156672,2011-12-07 15:52:00,0.0013550135501355,0.017632241813602,0.0084659461156672,4,New Customers,0,3,0.0812088795956152,Gold,Normal,0.5042017495983623,0,0,Safe
12348.0,0.0100755667506297,0.0073885051961916,0.0034707490871221,2011-09-25 13:13:00,0.1002710027100271,0.0100755667506297,0.0034707490871221,4,New Customers,0,3,0.0674075799774228,Silver,Normal,0.5905569482090702,0,0,Safe
12349.0,0.0075566750629722,0.0044200309374931,0.0076176612684867,2011-11-21 09:51:00,0.024390243902439,0.0075566750629722,0.0076176612684867,4,New Customers,0,3,0.0741200620417489,Gold,Normal,0.6256589324139874,1,1,High Risk
12350.0,0.0,0.0005337806923898,0.0005704975501136,2011-02-02 16:01:00,0.4186991869918699,0.0,0.0005704975501136,0,VIP Customers,0,3,0.0389522924927885,Bronze,Normal,0.6321604629579894,1,1,High Risk
12351.0,0.0,0.0007080764286803,0.0005128883994052,2010-11-29 15:23:00,0.5067750677506775,0.0,0.0005128883994052,0,VIP Customers,0,2,0.0330621574503959,Bronze,Normal,0.6589660560186302,1,1,High Risk
12352.0,0.0226700251889168,0.0019689971459073,0.004900116972222,2011-11-03 14:37:00,0.0474254742547425,0.0226700251889168,0.004900116972222,4,New Customers,0,3,0.0774740518177186,Gold,Normal,0.6329019993151013,1,1,High Risk
12353.0,0.0025188916876574,0.0005746312555829,0.0006950448505397,2011-05-19 17:47:00,0.2750677506775068,0.0025188916876574,0.0006950448505397,4,New Customers,0,3,0.0497748143176539,Bronze,Normal,0.6547962769749944,1,1,High Risk
12354.0,0.0,0.0014406631952765,0.0018528046095031,2011-04-21 13:11:00,0.3130081300813008,0.0,0.0018528046095031,4,New Customers,0,3,0.0469825239663167,Bronze,Normal,0.5838696215643715,0,1,High Risk
12355.0,0.0025188916876574,0.0014760670167106,0.0016259653513059,2011-05-09 13:49:00,0.2886178861788618,0.0025188916876574,0.0016259653513059,4,New Customers,0,3,0.049614575070941,Bronze,Normal,0.6435762331291885,1,1,High Risk
12356.0,0.0125944584382871,0.0093003115536286,0.0109620557767769,2011-11-17 08:40:00,0.029810298102981,0.0125944584382871,0.0109620557767769,4,New Customers,0,3,0.0788777303137925,Gold,Normal,0.49178874878833123,0,0,Safe
12357.0,0.0050377833753148,0.0179361206126495,0.0314719633716647,2011-11-06 16:07:00,0.043360433604336,0.0050377833753148,0.0314719633716647,4,New Customers,0,1,0.0900411039870201,Platinum,Normal,0.49188259691750597,0,0,Safe
12358.0,0.0100755667506297,0.0029357938081439,0.0066854154302228,2011-12-08 10:26:00,0.0013550135501355,0.0100755667506297,0.0066854154302228,4,New Customers,0,3,0.0760446387997376,Gold,Normal,0.5324128896693262,0,0,Safe
12359.0,0.0226700251889168,0.0074565894681801,0.0152679568213305,2011-10-13 12:47:00,0.0772357723577235,0.0226700251889168,0.0152679568213305,4,New Customers,0,3,0.0834432393478088,Gold,Normal,0.4049831511169132,0,0,Safe
12360.0,0.017632241813602,0.0066940456219089,0.0073150712268213,2011-10-18 15:22:00,0.0691056910569105,0.017632241813602,0.0073150712268213,4,New Customers,0,3,0.0757672483977913,Gold,Normal,0.4188882584616076,0,0,Safe
12361.0,0.0075566750629722,0.0006372687858123,0.0008748948701848,2011-02-25 13:51:00,0.3875338753387534,0.0075566750629722,0.0008748948701848,0,VIP Customers,0,3,0.0447744758160347,Bronze,Normal,0.5984430779288282,0,0,Safe
12362.0,0.0251889168765743,0.0060703936904943,0.0092141593756896,2011-12-06 15:40:00,0.002710027100271,0.0251889168765743,0.0092141593756896,4,New Customers,0,3,0.0850519039434912,Gold,Normal,0.4436720652023838,0,0,Safe
12363.0,0.0025188916876574,0.0011084119479727,0.0009450344845071,2011-08-22 10:18:00,0.1476964769647696,0.0025188916876574,0.0009450344845071,4,New Customers,0,3,0.0584671140812255,Silver,Normal,0.5856223998143149,0,0,Safe
12364.0,0.0075566750629722,0.0040986731737074,0.0022550531461197,2011-12-02 10:22:00,0.0094850948509485,0.0075566750629722,0.0022550531461197,4,New Customers,0,3,0.0711658631130677,Gold,Normal,0.4598579593091419,0,0,Safe
12365.0,0.0025188916876574,0.0004711431621603,0.0010988769072832,2011-02-21 14:04:00,0.3929539295392953,0.0025188916876574,0.0010988769072832,0,VIP Customers,0,3,0.0422206489021518,Bronze,Normal,0.5445438726235746,0,0,Safe
12366.0,0.0,0.0008033944094642,0.0008559442651863,2010-03-16 10:28:00,0.8577235772357723,0.0,0.0008559442651863,0,VIP Customers,0,2,0.0099714138766435,Bronze,Normal,0.8794597159779995,1,1,High Risk
12367.0,0.0,0.0004684197912808,0.0002856360490009,2011-12-05 16:48:00,0.0040650406504065,0.0,0.0002856360490009,4,New Customers,0,3,0.0663245374928867,Silver,Normal,0.5066870680708229,0,0,Safe
12368.0,0.0,0.0008959890193686,0.0015744837350021,2010-03-21 15:56:00,0.8495934959349594,0.0,0.0015744837350021,0,VIP Customers,0,2,0.0110442958401409,Bronze,Normal,0.7831347740717498,1,1,High Risk
12369.0,0.0050377833753148,0.0033769798906294,0.0030778811860407,2010-10-22 13:13:00,0.5582655826558266,0.0050377833753148,0.0030778811860407,0,VIP Customers,0,2,0.0340373209523816,Bronze,Normal,0.5926627518204078,0,1,High Risk
12370.0,0.0151133501259445,0.0070889343994422,0.0074246611469171,2011-10-19 14:51:00,0.067750677506775,0.0151133501259445,0.0074246611469171,4,New Customers,0,3,0.0747908170237706,Gold,Normal,0.4982328811931751,0,0,Safe
12371.0,0.0100755667506297,0.0039080372121396,0.0069957681629457,2011-10-26 10:16:00,0.059620596205962,0.0100755667506297,0.0069957681629457,4,New Customers,0,3,0.0724601098945371,Gold,Normal,0.541257785840632,0,0,Safe
12372.0,0.0050377833753148,0.0021596331074751,0.0022291316101272,2011-09-29 12:12:00,0.0962059620596205,0.0050377833753148,0.0022291316101272,4,New Customers,0,3,0.0640754177378,Silver,Normal,0.47071479745960104,0,0,Safe
12373.0,0.0050377833753148,0.001402536002963,0.0019358533552958,2011-02-01 13:10:00,0.4200542005420054,0.0050377833753148,0.0019358533552958,0,VIP Customers,0,3,0.0422652300704105,Bronze,Normal,0.6715660690939558,1,1,High Risk
12374.0,0.0075566750629722,0.0037065077670537,0.0051400202714673,2011-11-14 15:37:00,0.032520325203252,0.0075566750629722,0.0051400202714673,4,New Customers,0,3,0.0717185329382673,Gold,Normal,0.4866201957738701,0,0,Safe
12375.0,0.0025188916876574,0.0004820366456785,0.0007823794279805,2011-11-29 10:36:00,0.013550135501355,0.0025188916876574,0.0007823794279805,4,New Customers,0,3,0.0672309867321306,Silver,Normal,0.5042892944378281,0,0,Safe
12376.0,0.0025188916876574,0.00065088564021,0.0008609530081968,2010-11-15 12:15:00,0.5271002710027101,0.0025188916876574,0.0008609530081968,0,VIP Customers,0,2,0.0331339125138089,Bronze,Normal,0.6397054659134953,1,1,High Risk
