CustomerID,TotalTransactions,TotalQuantity,TotalSpent,LastPurchaseDate,Recency,Frequency,Monetary,Cluster,Persona
12346.0,12,74285,77556.46,2011-01-18 10:01:00,325,12,77556.46,1,Churn Risk Customers
12347.0,8,2967,4921.53,2011-12-07 15:52:00,1,8,4921.53,4,New Customers
12348.0,5,2714,2019.4,2011-09-25 13:13:00,74,5,2019.4,4,New Customers
12349.0,4,1624,4428.69,2011-11-21 09:51:00,18,4,4428.69,4,New Customers
12350.0,1,197,334.4,2011-02-02 16:01:00,309,1,334.4,0,VIP Customers
12351.0,1,261,300.93,2010-11-29 15:23:00,374,1,300.93,0,VIP Customers
12352.0,10,724,2849.84,2011-11-03 14:37:00,35,10,2849.84,4,New Customers
12353.0,2,212,406.76,2011-05-19 17:47:00,203,2,406.76,4,New Customers
12354.0,1,530,1079.4,2011-04-21 13:11:00,231,1,1079.4,4,New Customers
12355.0,2,543,947.61,2011-05-09 13:49:00,213,2,947.61,4,New Customers
12356.0,6,3416,6371.73,2011-11-17 08:40:00,22,6,6371.73,4,New Customers
12357.0,3,6587,18287.66,2011-11-06 16:07:00,32,3,18287.66,4,New Customers
12358.0,5,1079,3887.07,2011-12-08 10:26:00,1,5,3887.07,4,New Customers
12359.0,10,2739,8873.39,2011-10-13 12:47:00,57,10,8873.39,4,New Customers
12360.0,8,2459,4252.89,2011-10-18 15:22:00,51,8,4252.89,4,New Customers
12361.0,4,235,511.25,2011-02-25 13:51:00,286,4,511.25,0,VIP Customers
12362.0,11,2230,5356.23,2011-12-06 15:40:00,2,11,5356.23,4,New Customers
12363.0,2,408,552.0,2011-08-22 10:18:00,109,2,552.0,4,New Customers
12364.0,4,1506,1313.1,2011-12-02 10:22:00,7,4,1313.1,4,New Customers
12365.0,2,174,641.38,2011-02-21 14:04:00,290,2,641.38,0,VIP Customers
12366.0,1,296,500.24,2010-03-16 10:28:00,633,1,500.24,0,VIP Customers
12367.0,1,173,168.9,2011-12-05 16:48:00,3,1,168.9,4,New Customers
12368.0,1,330,917.7,2010-03-21 15:56:00,627,1,917.7,0,VIP Customers
12369.0,3,1241,1791.15,2010-10-22 13:13:00,412,3,1791.15,0,VIP Customers
12370.0,7,2604,4316.56,2011-10-19 14:51:00,50,7,4316.56,4,New Customers
12371.0,5,1436,4067.38,2011-10-26 10:16:00,44,5,4067.38,4,New Customers
12372.0,3,794,1298.04,2011-09-29 12:12:00,71,3,1298.04,4,New Customers
12373.0,3,516,1127.65,2011-02-01 13:10:00,310,3,1127.65,0,VIP Customers
12374.0,4,1362,2989.2200000000003,2011-11-14 15:37:00,24,4,2989.2200000000003,4,New Customers
12375.0,2,178,457.5,2011-11-29 10:36:00,10,2,457.5,4,New Customers
