CustomerID,TotalTransactions,TotalQuantity,TotalSpent,LastPurchaseDate,Recency,Frequency,Monetary,Cluster,Persona,DBSCAN_Cluster,Hierarchical_Cluster,CustomerScore,Tier,Anomaly
12346.0,0.027707808564231738,0.20230288241573893,0.13348646087709562,2011-01-18 10:01:00,0.44037940379403795,0.027707808564231738,0.13348646087709562,1,Churn Risk Customers,-1,1,0.16110686187225431,Platinum,Anomaly
12347.0,0.017632241813602016,0.008077518028715222,0.008465946115667297,2011-12-07 15:52:00,0.0013550135501355014,0.017632241813602016,0.008465946115667297,4,New Customers,0,3,0.0812088795956152,Gold,Normal
12348.0,0.010075566750629723,0.0073885051961916385,0.003470749087122162,2011-09-25 13:13:00,0.1002710027100271,0.010075566750629723,0.003470749087122162,4,New Customers,0,3,0.06740757997742285,Silver,Normal
12349.0,0.007556675062972292,0.004420030937493192,0.007617661268486714,2011-11-21 09:51:00,0.024390243902439025,0.007556675062972292,0.007617661268486714,4,New Customers,0,3,0.0741200620417489,Gold,Normal
12350.0,0.0,0.0005337806923898123,0.0005704975501136355,2011-02-02 16:01:00,0.4186991869918699,0.0,0.0005704975501136355,0,VIP Customers,0,3,0.03895229249278854,Bronze,Normal
12351.0,0.0,0.0007080764286803634,0.000512888399405223,2010-11-29 15:23:00,0.5067750677506775,0.0,0.000512888399405223,0,VIP Customers,0,2,0.03306215745039591,Bronze,Normal
12352.0,0.022670025188916875,0.0019689971459073185,0.004900116972222079,2011-11-03 14:37:00,0.04742547425474255,0.022670025188916875,0.004900116972222079,4,New Customers,0,3,0.07747405181771867,Gold,Normal
12353.0,0.0025188916876574307,0.0005746312555829102,0.0006950448505397108,2011-05-19 17:47:00,0.2750677506775068,0.0025188916876574307,0.0006950448505397108,4,New Customers,0,3,0.049774814317653925,Bronze,Normal
12354.0,0.0,0.0014406631952765857,0.0018528046095031621,2011-04-21 13:11:00,0.3130081300813008,0.0,0.0018528046095031621,4,New Customers,0,3,0.04698252396631679,Bronze,Normal
12355.0,0.0025188916876574307,0.0014760670167106038,0.0016259653513059195,2011-05-09 13:49:00,0.2886178861788618,0.0025188916876574307,0.0016259653513059195,4,New Customers,0,3,0.049614575070941046,Bronze,Normal
12356.0,0.012594458438287152,0.009300311553628619,0.010962055776776948,2011-11-17 08:40:00,0.02981029810298103,0.012594458438287152,0.010962055776776948,4,New Customers,0,3,0.07887773031379253,Gold,Normal
12357.0,0.005037783375314861,0.017936120612649514,0.03147196337166478,2011-11-06 16:07:00,0.04336043360433604,0.005037783375314861,0.03147196337166478,4,New Customers,0,1,0.09004110398702014,Platinum,Normal
12358.0,0.010075566750629723,0.0029357938081439683,0.006685415430222883,2011-12-08 10:26:00,0.0013550135501355014,0.010075566750629723,0.006685415430222883,4,New Customers,0,3,0.07604463879973768,Gold,Normal
12359.0,0.022670025188916875,0.007456589468180135,0.015267956821330508,2011-10-13 12:47:00,0.07723577235772358,0.022670025188916875,0.015267956821330508,4,New Customers,0,3,0.08344323934780884,Gold,Normal
